ProductionID,LineID,ProductID,Date,Shift,Output,DefectiveUnits,DowntimeHours,Defective_Categories
124,3,23,2021-09-05,Morning,1280,29,0.16,"Material, Machine, Human Error"
125,1,28,2020-05-22,Morning,1909,84,1.5,"Material, Machine"
126,4,36,2022-07-17,Afternoon,1468,17,1.59,"Human Error, Machine, Material"
127,3,4,2021-05-03,Afternoon,845,28,0.93,"Material, Human Error"
128,2,51,2022-08-30,Afternoon,1058,27,0.64,"Human Error, Process Issue, Material"
129,3,33,2021-09-20,Night,827,35,0.35,Human Error
130,5,10,2022-11-09,Night,1069,26,1.57,"Process Issue, Machine, Human Error"
131,1,38,2020-01-19,Afternoon,1012,32,1.27,Process Issue
132,1,38,2021-08-02,Afternoon,1045,29,1.65,Material
133,2,45,2020-12-29,Morning,1899,23,1.47,Process Issue
134,2,30,2021-05-06,Morning,1332,19,0.63,"Machine, Human Error"
135,1,25,2021-03-01,Afternoon,833,22,1.94,"Machine, Process Issue"
136,4,45,2021-05-11,Morning,801,38,0.14,"Human Error, Process Issue"
137,4,1,2022-12-07,Morning,1971,20,1.16,"Human Error, Material"
138,1,10,2020-08-14,Night,904,43,0.67,"Process Issue, Machine, Material"
139,1,7,2022-12-16,Morning,1292,61,0.45,Process Issue
140,5,39,2022-11-02,Morning,1519,47,0.08,"Process Issue, Material, Human Error"
141,4,7,2020-12-13,Morning,878,24,1.04,Human Error
142,1,31,2021-11-04,Morning,1818,71,1.28,"Human Error, Process Issue, Material"
143,3,7,2022-07-23,Morning,592,12,0.51,"Machine, Material, Process Issue"
144,2,37,2021-06-24,Afternoon,1205,44,1.31,"Material, Machine, Process Issue"
145,3,43,2022-07-25,Afternoon,1715,64,0.73,"Machine, Human Error, Process Issue"
146,1,47,2021-07-16,Night,1203,40,0.98,"Process Issue, Human Error"
147,1,25,2020-01-01,Night,610,30,0.15,Machine
148,4,45,2021-01-22,Morning,1091,17,1.62,"Material, Process Issue, Human Error"
149,5,36,2021-08-22,Morning,674,33,1.12,"Material, Machine, Process Issue"
150,4,37,2021-08-08,Night,1068,42,1.1,"Process Issue, Machine, Material"
151,4,1,2020-02-08,Morning,1304,38,1.1,"Material, Human Error, Machine"
152,4,10,2021-11-10,Morning,870,22,1.77,"Human Error, Process Issue, Machine"
153,3,23,2022-03-29,Afternoon,933,20,0.0,Human Error
154,2,48,2022-12-18,Afternoon,1547,32,1.57,"Human Error, Machine, Process Issue"
155,1,43,2022-05-12,Night,596,18,0.83,Human Error
156,1,14,2022-09-21,Night,1235,37,0.23,Process Issue
157,4,34,2020-06-15,Afternoon,1973,91,0.13,Human Error
158,5,5,2020-05-09,Afternoon,975,19,1.95,"Machine, Human Error"
159,4,19,2021-05-09,Morning,1654,68,1.14,"Human Error, Material, Process Issue"
160,4,29,2022-03-17,Afternoon,1510,33,0.43,"Material, Machine"
161,3,33,2021-06-20,Morning,600,6,0.34,"Material, Human Error, Process Issue"
162,4,28,2020-08-08,Afternoon,1957,93,1.94,"Human Error, Material, Process Issue"
163,3,13,2021-10-23,Afternoon,1676,51,0.64,Machine
164,3,33,2020-03-05,Morning,1034,43,1.07,"Process Issue, Material, Human Error"
165,4,4,2021-03-13,Afternoon,635,23,0.15,"Material, Machine, Human Error"
166,2,36,2022-04-09,Morning,857,38,0.73,"Material, Human Error, Process Issue"
167,4,28,2022-03-27,Night,1129,20,1.62,Material
168,3,34,2020-10-08,Morning,1313,29,0.92,"Material, Machine"
169,2,52,2022-03-09,Afternoon,1204,49,0.73,Process Issue
170,2,36,2021-07-24,Afternoon,1124,33,1.96,Process Issue
171,2,35,2021-07-21,Afternoon,1544,49,1.87,"Material, Machine, Process Issue"
172,3,38,2021-01-06,Morning,918,36,1.97,Material
173,2,12,2022-04-09,Night,1631,36,1.59,"Machine, Process Issue, Material"
174,4,3,2021-11-08,Morning,540,20,1.88,"Material, Machine, Process Issue"
175,4,9,2020-12-25,Night,1592,72,0.95,"Machine, Human Error"
176,4,38,2022-10-30,Afternoon,564,10,1.5,"Material, Process Issue"
177,1,39,2021-07-20,Afternoon,1388,28,1.04,"Process Issue, Machine"
178,3,22,2022-07-27,Afternoon,1420,66,1.56,"Material, Machine, Process Issue"
179,4,43,2021-07-22,Morning,1423,35,1.33,"Process Issue, Material"
180,4,33,2020-01-25,Morning,948,39,1.62,"Human Error, Process Issue"
181,4,5,2021-04-03,Afternoon,1762,72,1.12,"Human Error, Process Issue, Machine"
182,3,22,2020-08-28,Afternoon,880,20,1.02,"Material, Machine"
183,5,12,2022-12-02,Afternoon,1239,23,0.21,Process Issue
184,3,34,2020-05-15,Night,1470,64,1.29,"Machine, Material, Human Error"
185,4,2,2021-10-30,Night,1166,44,1.25,"Material, Human Error, Process Issue"
186,2,21,2022-09-13,Night,1051,15,0.18,Process Issue
187,2,2,2021-07-06,Afternoon,975,43,1.71,"Machine, Human Error, Process Issue"
188,4,5,2022-12-31,Morning,1896,87,1.91,"Material, Human Error"
189,3,25,2022-05-21,Night,1308,22,1.42,"Process Issue, Human Error"
190,2,28,2022-06-25,Night,1447,42,1.21,"Machine, Process Issue"
191,4,23,2021-08-20,Night,551,7,1.01,"Human Error, Process Issue, Material"
192,4,25,2021-05-12,Morning,1491,16,0.76,"Process Issue, Human Error, Material"
193,2,29,2022-10-13,Night,872,44,1.72,"Process Issue, Material"
194,5,52,2022-04-21,Night,1699,56,0.76,"Process Issue, Human Error, Machine"
195,4,33,2022-02-13,Morning,1869,73,0.46,"Human Error, Process Issue, Material"
196,5,39,2020-08-21,Afternoon,831,30,0.31,Process Issue
197,1,12,2020-03-02,Night,662,29,0.07,Machine
198,3,18,2020-03-27,Night,1657,37,1.76,Process Issue
199,2,8,2021-08-09,Morning,1254,16,0.86,Process Issue
200,1,26,2020-12-25,Morning,708,22,0.86,"Material, Machine, Process Issue"
201,2,7,2020-11-25,Morning,576,28,1.59,Machine
202,4,36,2022-08-14,Afternoon,1900,84,1.31,"Machine, Material"
203,1,51,2022-06-14,Afternoon,1298,60,0.95,"Machine, Material, Process Issue"
204,1,45,2020-04-29,Morning,622,27,1.53,Human Error
205,2,11,2022-03-19,Afternoon,1595,79,1.84,Machine
206,4,22,2020-06-05,Afternoon,819,9,0.53,"Material, Machine, Process Issue"
207,1,39,2022-03-27,Night,920,38,0.38,"Process Issue, Human Error, Machine"
208,1,37,2022-01-20,Morning,1418,63,1.25,"Process Issue, Material, Human Error"
209,4,42,2022-01-08,Night,1268,57,0.38,Machine
210,1,46,2020-02-29,Morning,1942,56,0.7,"Material, Process Issue, Human Error"
211,2,34,2020-01-31,Afternoon,868,25,0.78,"Process Issue, Machine, Material"
212,3,50,2021-07-03,Morning,1509,48,0.63,"Human Error, Material, Machine"
213,2,46,2021-08-24,Morning,512,21,1.83,Human Error
214,4,11,2021-04-11,Night,1805,28,0.09,"Process Issue, Machine"
215,1,20,2020-08-30,Morning,1677,72,0.31,"Human Error, Material, Machine"
216,2,49,2022-08-02,Afternoon,1603,18,0.6,"Material, Process Issue, Machine"
217,1,26,2021-02-06,Afternoon,820,38,1.03,"Material, Process Issue, Human Error"
218,5,6,2021-07-26,Afternoon,1264,46,1.15,Process Issue
219,1,46,2022-09-06,Afternoon,744,18,0.75,"Material, Process Issue"
220,1,30,2020-10-20,Morning,926,24,0.1,Material
221,3,48,2021-09-13,Night,863,31,1.96,"Material, Process Issue, Machine"
222,3,41,2022-06-11,Night,1116,35,0.43,"Process Issue, Human Error"
223,1,8,2020-10-11,Night,914,37,0.64,"Process Issue, Human Error"
224,5,33,2022-08-22,Afternoon,1592,24,0.79,"Material, Process Issue"
225,2,22,2022-12-15,Morning,1633,78,0.99,"Process Issue, Material"
226,2,10,2022-12-02,Night,1895,80,0.21,Process Issue
227,3,51,2021-10-08,Afternoon,1477,19,0.9,"Machine, Material"
228,2,27,2022-05-07,Night,1237,31,0.82,Material
229,2,35,2021-04-19,Afternoon,546,26,1.7,"Machine, Material, Process Issue"
230,3,25,2020-01-01,Afternoon,870,36,1.16,Human Error
231,2,39,2020-05-11,Night,838,11,0.35,"Machine, Human Error"
232,5,38,2021-10-29,Morning,1637,65,0.51,"Machine, Process Issue, Material"
233,2,6,2020-04-30,Night,1697,54,1.69,"Human Error, Process Issue, Material"
234,2,52,2020-09-14,Night,580,17,0.79,Machine
235,3,5,2020-01-09,Night,593,12,0.34,"Human Error, Machine"
236,2,41,2020-11-16,Afternoon,1003,14,1.43,"Process Issue, Human Error"
237,3,39,2022-12-31,Morning,1373,62,0.96,Machine
238,1,14,2022-09-22,Afternoon,1304,35,1.71,"Machine, Human Error, Material"
239,4,20,2020-11-03,Afternoon,1263,30,1.91,"Process Issue, Human Error, Machine"
240,3,5,2020-03-19,Night,525,23,1.83,"Human Error, Material, Process Issue"
241,5,32,2022-02-04,Afternoon,1767,59,0.76,"Human Error, Machine"
242,2,38,2021-05-15,Morning,1850,69,0.02,Process Issue
243,4,4,2022-06-25,Night,1582,65,0.73,Machine
244,1,2,2021-08-25,Night,1982,52,1.24,"Human Error, Material"
245,2,4,2021-02-24,Afternoon,897,26,0.7,"Human Error, Process Issue, Material"
246,4,51,2020-11-06,Morning,922,16,1.27,"Material, Human Error"
247,4,49,2022-05-09,Night,1536,63,1.67,"Process Issue, Machine"
248,5,11,2021-05-01,Morning,1500,68,0.26,"Machine, Human Error"
249,2,43,2021-03-15,Night,1485,56,1.86,"Process Issue, Human Error"
250,5,3,2020-06-07,Afternoon,1910,77,1.24,Machine
251,3,3,2021-02-26,Morning,1379,62,0.31,"Machine, Human Error"
252,5,44,2022-05-08,Afternoon,1157,54,0.88,"Human Error, Process Issue"
253,2,48,2021-07-13,Afternoon,1856,31,0.23,Human Error
254,1,43,2020-04-09,Afternoon,1916,30,1.38,"Human Error, Machine, Material"
255,5,35,2020-06-28,Morning,1677,76,1.72,Material
256,2,12,2021-12-19,Morning,1764,76,0.91,"Material, Process Issue"
257,2,34,2020-03-17,Night,1994,92,0.94,Process Issue
258,4,21,2020-06-26,Night,886,20,0.91,"Material, Human Error"
259,5,15,2022-11-29,Night,731,25,1.53,"Machine, Process Issue, Human Error"
260,2,9,2020-08-24,Morning,1095,33,1.28,"Material, Human Error, Machine"
261,4,48,2021-08-12,Morning,1553,76,0.16,"Human Error, Material"
262,4,41,2022-09-04,Morning,867,28,0.3,"Human Error, Material, Process Issue"
263,1,13,2020-04-15,Afternoon,1057,35,1.18,"Machine, Human Error"
264,1,50,2021-08-11,Night,1240,40,1.6,Material
265,1,2,2021-05-23,Morning,1352,31,0.5,Human Error
266,5,38,2022-05-06,Night,1065,45,0.66,"Material, Machine"
267,1,28,2022-11-16,Night,1226,17,0.33,Material
268,4,22,2020-11-14,Morning,713,10,0.91,"Material, Machine, Human Error"
269,4,39,2020-05-16,Afternoon,1544,46,0.84,Material
270,4,1,2021-04-30,Morning,1131,20,1.9,"Process Issue, Machine"
271,3,15,2020-04-11,Night,1624,34,0.81,"Process Issue, Machine, Human Error"
272,4,12,2021-04-16,Afternoon,1736,67,1.66,"Process Issue, Human Error, Material"
273,5,42,2022-08-15,Afternoon,1701,27,0.52,"Material, Process Issue, Human Error"
274,4,27,2022-08-12,Afternoon,1121,35,0.06,"Material, Human Error, Machine"
275,4,16,2021-06-12,Night,1120,28,1.39,"Human Error, Machine"
276,4,32,2020-08-25,Morning,1667,22,1.73,"Machine, Human Error, Process Issue"
277,4,43,2022-02-20,Morning,982,10,0.64,"Process Issue, Material"
278,4,32,2022-08-30,Night,1276,58,1.41,Process Issue
279,4,36,2020-08-21,Night,707,12,1.04,"Machine, Material, Process Issue"
280,3,2,2021-03-07,Afternoon,1022,50,1.53,"Material, Process Issue, Human Error"
281,5,42,2020-04-03,Morning,1237,43,1.8,Material
282,3,35,2020-11-26,Afternoon,1681,59,0.26,"Human Error, Process Issue, Machine"
283,4,6,2021-11-19,Night,1944,46,1.81,Machine
284,2,32,2020-11-11,Afternoon,979,41,2.0,"Material, Process Issue, Machine"
285,1,10,2022-12-14,Morning,755,33,1.8,"Machine, Process Issue"
286,5,26,2020-11-26,Afternoon,1932,41,0.58,"Human Error, Process Issue, Material"
287,4,15,2021-08-04,Afternoon,1894,55,0.51,Machine
288,4,20,2021-10-24,Afternoon,1184,53,0.12,"Material, Process Issue"
289,5,16,2022-12-02,Morning,596,22,0.07,Material
290,5,41,2022-06-09,Night,990,42,1.2,"Material, Human Error, Process Issue"
291,4,52,2021-09-30,Night,1080,14,1.89,"Machine, Process Issue"
292,5,33,2021-12-01,Afternoon,1867,24,1.05,"Machine, Human Error, Material"
293,2,16,2020-02-28,Afternoon,1765,74,1.1,Machine
294,3,49,2021-01-17,Morning,1999,50,0.19,"Process Issue, Material"
295,5,35,2021-12-29,Afternoon,1495,37,1.56,"Human Error, Material, Process Issue"
296,4,10,2020-04-25,Afternoon,1903,77,1.05,"Material, Machine, Human Error"
297,1,36,2021-07-02,Night,1902,25,1.23,Process Issue
298,3,46,2022-01-10,Morning,1508,37,1.47,Human Error
299,4,12,2020-01-14,Morning,889,13,1.99,"Human Error, Machine, Process Issue"
300,5,51,2020-04-01,Morning,738,37,1.0,"Human Error, Process Issue"
301,4,44,2022-08-31,Afternoon,1702,50,1.29,"Process Issue, Machine, Material"
302,1,20,2022-08-07,Morning,1358,40,0.47,"Material, Machine, Human Error"
303,4,31,2022-03-19,Night,1396,50,0.57,Machine
304,4,3,2022-01-28,Morning,1820,56,1.93,"Human Error, Material"
305,5,45,2020-06-12,Afternoon,1713,77,0.99,Human Error
306,4,5,2021-05-25,Morning,1020,29,1.06,"Machine, Human Error, Process Issue"
307,1,12,2020-06-09,Night,871,40,0.3,"Process Issue, Material, Human Error"
308,2,33,2022-02-10,Morning,902,30,0.26,Process Issue
309,2,25,2020-07-04,Morning,1630,61,0.83,"Material, Machine, Human Error"
310,1,11,2021-10-03,Morning,1950,91,0.12,"Material, Human Error, Machine"
311,3,52,2022-05-19,Afternoon,1110,53,0.27,"Human Error, Material"
312,2,25,2020-07-25,Afternoon,542,22,1.91,"Material, Process Issue, Human Error"
313,4,42,2022-11-27,Morning,1639,48,0.5,"Process Issue, Machine"
314,4,45,2020-09-03,Afternoon,733,8,0.06,"Process Issue, Material"
315,3,40,2020-10-28,Afternoon,1450,20,0.89,Machine
316,2,9,2022-10-16,Night,774,23,1.74,"Human Error, Material"
317,4,42,2021-08-22,Afternoon,1171,38,1.89,"Human Error, Machine, Process Issue"
318,3,50,2021-08-13,Morning,1738,84,0.91,"Human Error, Process Issue, Machine"
319,4,5,2022-07-20,Morning,1061,38,0.76,Human Error
320,3,35,2020-12-27,Morning,1828,50,1.74,"Material, Process Issue"
321,4,26,2020-06-04,Afternoon,1048,25,0.01,"Machine, Process Issue"
322,4,8,2021-10-29,Night,810,30,0.28,"Process Issue, Machine, Material"
323,1,7,2022-08-07,Morning,1011,13,1.89,"Human Error, Machine, Material"
324,1,15,2020-03-11,Morning,542,13,0.7,"Machine, Human Error, Material"
325,4,33,2020-05-18,Afternoon,1243,20,0.95,"Human Error, Machine"
326,2,50,2021-09-25,Night,1094,12,0.74,Process Issue
327,3,47,2020-02-27,Night,1198,19,0.99,"Machine, Human Error"
328,5,7,2020-11-10,Afternoon,1979,45,1.75,Machine
329,4,43,2021-12-14,Afternoon,1334,23,0.84,Material
330,1,17,2021-12-16,Morning,742,36,0.53,"Process Issue, Human Error"
331,1,22,2022-03-02,Afternoon,1968,88,1.39,"Human Error, Machine"
332,4,52,2020-10-19,Afternoon,782,23,1.95,"Human Error, Material, Process Issue"
333,5,15,2021-04-10,Afternoon,1972,57,0.15,Machine
334,2,26,2021-10-11,Morning,1721,25,0.25,"Process Issue, Material, Human Error"
335,2,52,2020-03-18,Morning,1919,42,0.74,"Machine, Human Error, Process Issue"
336,2,13,2020-07-11,Afternoon,806,24,0.58,"Process Issue, Material, Human Error"
337,2,51,2021-05-20,Night,1694,53,0.68,Human Error
338,4,45,2022-06-17,Night,1837,84,1.39,"Human Error, Machine, Process Issue"
339,1,4,2021-06-13,Night,1682,22,0.02,"Process Issue, Human Error, Machine"
340,1,13,2022-11-21,Morning,1351,35,0.54,Machine
341,4,47,2021-04-30,Afternoon,918,46,0.72,Material
342,1,44,2021-10-11,Morning,1973,30,1.83,Process Issue
343,4,29,2022-04-09,Afternoon,1250,22,1.02,Material
344,2,14,2021-06-23,Morning,1257,42,0.3,"Human Error, Material, Machine"
345,2,25,2022-11-14,Morning,1285,14,0.43,Human Error
346,3,36,2021-06-29,Morning,1023,28,1.88,"Process Issue, Machine"
347,4,10,2022-01-05,Night,1619,49,0.71,"Human Error, Process Issue, Material"
348,3,14,2021-07-15,Afternoon,1495,45,0.7,"Process Issue, Machine"
349,2,45,2021-03-19,Afternoon,1489,21,1.7,"Process Issue, Material, Human Error"
350,2,1,2021-09-13,Afternoon,1294,56,0.32,"Material, Machine"
351,1,20,2022-06-30,Morning,584,27,1.06,Machine
352,4,7,2022-04-16,Night,1800,79,1.06,"Material, Machine, Process Issue"
353,2,44,2022-12-25,Night,1028,47,0.27,Machine
354,4,6,2021-11-20,Morning,1898,44,1.59,Process Issue
355,4,16,2020-05-31,Afternoon,1085,42,0.88,"Material, Human Error"
356,3,44,2021-11-26,Morning,572,20,1.78,"Human Error, Process Issue"
357,4,19,2020-04-22,Afternoon,1202,23,0.34,Human Error
358,5,21,2020-11-06,Morning,682,23,1.78,"Human Error, Material, Process Issue"
359,2,43,2021-05-30,Afternoon,537,13,1.96,"Machine, Process Issue, Material"
360,2,37,2021-02-24,Morning,673,17,0.67,Human Error
361,4,30,2022-06-20,Afternoon,713,30,0.44,Human Error
362,3,14,2021-06-09,Afternoon,1495,62,0.24,"Material, Human Error"
363,2,30,2021-10-13,Night,956,14,0.69,"Machine, Material"
364,3,14,2021-04-20,Morning,1189,50,0.97,"Human Error, Material"
365,1,8,2021-11-01,Afternoon,1837,60,1.58,"Machine, Material, Process Issue"
366,4,46,2022-11-15,Afternoon,828,41,1.06,"Process Issue, Material"
367,1,51,2022-03-07,Night,541,10,1.47,"Human Error, Machine"
368,1,20,2020-02-04,Night,513,7,1.5,"Process Issue, Human Error"
369,1,45,2022-09-04,Night,1618,34,0.61,Human Error
370,4,25,2022-09-09,Morning,1599,30,0.08,Human Error
371,5,16,2022-06-30,Night,696,14,1.97,"Human Error, Machine"
372,4,51,2021-11-12,Afternoon,750,8,1.4,Material
373,1,48,2020-09-28,Night,1396,35,1.29,"Material, Process Issue"
374,2,8,2020-06-05,Afternoon,1730,81,1.2,"Machine, Process Issue, Human Error"
375,1,19,2021-09-05,Night,1400,54,0.77,"Machine, Material"
376,4,17,2022-09-13,Night,1667,75,0.58,Process Issue
377,3,11,2020-03-22,Afternoon,718,28,0.33,Material
378,3,2,2021-04-12,Afternoon,1243,42,1.07,"Process Issue, Human Error, Machine"
379,1,21,2021-01-12,Afternoon,677,10,0.84,Material
380,4,28,2022-11-05,Morning,601,19,1.97,"Human Error, Material"
381,2,33,2022-06-21,Night,1885,86,0.53,"Process Issue, Material, Human Error"
